Region,Medals,Games,Host
China,0,1980,No
South Korea,0,1980,No
Russia,56,1980,Yes
Italy,7,1980,No
France,4,1980,No
Greece,0,1980,No
UK,16,1980,No
Germany,38,1980,No
Belgium,0,1980,No
Netherlands,1,1980,No
Spain,0,1980,No
Sweden,0,1980,No
Finland,2,1980,No
USA,0,1980,No
Canada,0,1980,No
Mexico,0,1980,No
Brazil,1,1980,No
Australia,3,1984,No
Japan,0,1984,No
China,1,1984,No
South Korea,0,1984,No
Russia,0,1984,No
Italy,7,1984,No
France,4,1984,No
Greece,0,1984,No
UK,22,1984,No
Germany,16,1984,No
Belgium,0,1984,No
Netherlands,1,1984,No
Spain,0,1984,No
Sweden,3,1984,No
Finland,4,1984,No
USA,56,1984,Yes
Canada,15,1984,No
Mexico,3,1984,No
Brazil,1,1984,No
Australia,2,1988,No
Japan,0,1988,No
China,1,1988,No
South Korea,0,1988,Yes
Russia,36,1988,No
Italy,3,1988,No
France,4,1988,No
Greece,0,1988,No
UK,12,1988,No
Germany,43,1988,No
Belgium,0,1988,No
Netherlands,0,1988,No
Spain,0,1988,No
Sweden,1,1988,No
Finland,2,1988,No
USA,40,1988,No
Canada,1,1988,No
Mexico,0,1988,No
Brazil,2,1988,No
Australia,2,1992,No
Japan,2,1992,No
China,4,1992,No
South Korea,1,1992,No
Russia,29,1992,No
Italy,1,1992,No
France,1,1992,No
Greece,1,1992,No
UK,14,1992,No
Germany,10,1992,No
Belgium,0,1992,No
Netherlands,1,1992,No
Spain,0,1992,Yes
Sweden,1,1992,No
Finland,1,1992,No
USA,48,1992,No
Canada,3,1992,No
Mexico,1,1992,No
Brazil,0,1992,No
Australia,2,1996,No
Japan,1,1996,No
China,4,1996,No
South Korea,1,1996,No
Russia,10,1996,No
Italy,4,1996,No
France,4,1996,No
Greece,1,1996,No
UK,11,1996,No
Germany,10,1996,No
Belgium,0,1996,No
Netherlands,0,1996,No
Spain,0,1996,No
Sweden,1,1996,No
Finland,2,1996,No
USA,39,1996,Yes
Canada,6,1996,No
Mexico,1,1996,No
Brazil,4,1996,No
Australia,3,2000,Yes
Japan,1,2000,No
China,1,2000,No
South Korea,0,2000,No
Russia,18,2000,No
Italy,2,2000,No
France,0,2000,No
Greece,4,2000,No
UK,6,2000,No
Germany,5,2000,No
Belgium,0,2000,No
Netherlands,0,2000,No
Spain,0,2000,No
Sweden,1,2000,No
Finland,1,2000,No
USA,28,2000,No
Canada,0,2000,No
Mexico,2,2000,No
Brazil,5,2000,No
Australia,6,2004,No
Japan,2,2004,No
China,2,2004,No
South Korea,0,2004,No
Russia,27,2004,No
Italy,3,2004,No
France,5,2004,No
Greece,5,2004,Yes
UK,7,2004,No
Germany,2,2004,No
Belgium,0,2004,No
Netherlands,0,2004,No
Spain,0,2004,No
Sweden,3,2004,No
Finland,0,2004,No
USA,38,2004,No
Canada,0,2004,No
Mexico,1,2004,No
Brazil,1,2004,No
Australia,4,2008,No
Japan,4,2008,No
China,2,2008,Yes
South Korea,0,2008,No
Russia,25,2008,No
Italy,2,2008,No
France,2,2008,No
Greece,1,2008,No
UK,8,2008,No
Germany,1,2008,No
Belgium,5,2008,No
Netherlands,0,2008,No
Spain,0,2008,No
Sweden,0,2008,No
Finland,1,2008,No
USA,32,2008,No
Canada,2,2008,No
Mexico,0,2008,No
Brazil,5,2008,No
Australia,3,2012,No
Japan,1,2012,No
China,6,2012,No
South Korea,0,2012,No
Russia,23,2012,No
Italy,1,2012,No
France,6,2012,No
Greece,0,2012,No
UK,6,2012,Yes
Germany,8,2012,No
Belgium,0,2012,No
Netherlands,0,2012,No
Spain,0,2012,No
Sweden,0,2012,No
Finland,1,2012,No
USA,42,2012,No
Canada,1,2012,No
Mexico,0,2012,No
Brazil,0,2012,No
Australia,2,2016,No
Japan,5,2016,No
China,6,2016,No
South Korea,0,2016,No
Russia,0,2016,No
Italy,0,2016,No
France,6,2016,No
Greece,1,2016,No
UK,14,2016,No
Germany,3,2016,No
Belgium,1,2016,No
Netherlands,1,2016,No
Spain,0,2016,No
Sweden,0,2016,No
Finland,0,2016,No
USA,46,2016,No
Canada,10,2016,No
Mexico,1,2016,No
Brazil,1,2016,Yes
