__ROW_PATH__,"1896,Bronze,Medal","1896,Gold,Medal","1896,Silver,Medal","1900,Bronze,Medal","1900,Gold,Medal","1900,Silver,Medal","1904,Bronze,Medal","1904,Gold,Medal","1904,Silver,Medal","1906,Bronze,Medal","1906,Gold,Medal","1906,Silver,Medal","1908,Bronze,Medal","1908,Gold,Medal","1908,Silver,Medal","1912,Bronze,Medal","1912,Gold,Medal","1912,Silver,Medal","1920,Bronze,Medal","1920,Gold,Medal","1920,Silver,Medal","1924,Bronze,Medal","1924,Gold,Medal","1924,Silver,Medal","1928,Bronze,Medal","1928,Gold,Medal","1928,Silver,Medal","1932,Bronze,Medal","1932,Gold,Medal","1932,Silver,Medal","1936,Bronze,Medal","1936,Gold,Medal","1936,Silver,Medal","1948,Bronze,Medal","1948,Gold,Medal","1948,Silver,Medal","1952,Bronze,Medal","1952,Gold,Medal","1952,Silver,Medal","1956,Bronze,Medal","1956,Gold,Medal","1956,Silver,Medal","1960,Bronze,Medal","1960,Gold,Medal","1960,Silver,Medal","1964,Bronze,Medal","1964,Gold,Medal","1964,Silver,Medal","1968,Bronze,Medal","1968,Gold,Medal","1968,Silver,Medal","1972,Bronze,Medal","1972,Gold,Medal","1972,Silver,Medal","1976,Bronze,Medal","1976,Gold,Medal","1976,Silver,Medal","1980,Bronze,Medal","1980,Gold,Medal","1980,Silver,Medal","1984,Bronze,Medal","1984,Gold,Medal","1984,Silver,Medal","1988,Bronze,Medal","1988,Gold,Medal","1988,Silver,Medal","1992,Bronze,Medal","1992,Gold,Medal","1992,Silver,Medal","1996,Bronze,Medal","1996,Gold,Medal","1996,Silver,Medal","2000,Bronze,Medal","2000,Gold,Medal","2000,Silver,Medal","2004,Bronze,Medal","2004,Gold,Medal","2004,Silver,Medal","2008,Bronze,Medal","2008,Gold,Medal","2008,Silver,Medal","2012,Bronze,Medal","2012,Gold,Medal","2012,Silver,Medal","2016,Bronze,Medal","2016,Gold,Medal","2016,Silver,Medal"
FIN,,,,,,,,,,1,2,1,28,1,1,22,9,40,17,21,14,15,24,13,9,8,8,16,5,8,13,8,6,8,17,8,29,8,3,22,3,1,4,1,1,2,3,,1,1,2,6,3,1,,4,2,5,3,1,6,4,2,2,1,1,2,1,4,1,1,2,1,3,1,,,2,2,1,2,4,,1,1,,
FRA,2,5,4,82,52,101,,,2,28,20,16,23,12,5,5,10,11,57,13,71,22,37,51,14,12,24,6,26,8,18,13,13,24,26,22,17,14,9,13,7,13,6,,6,17,1,13,10,12,5,15,2,5,8,5,7,6,18,5,31,20,16,13,12,4,43,9,5,20,21,10,14,22,30,22,21,10,28,25,24,22,30,30,21,20,55
FRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,16,39,44,19,32,21,25,,,,53,30,75,46,32,37,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
GBR,3,3,3,15,59,34,,1,1,8,9,22,90,147,131,59,47,64,17,52,42,19,15,30,24,7,27,14,9,12,8,12,16,12,7,42,26,3,2,22,8,16,15,2,11,5,4,19,5,9,5,12,8,9,11,6,15,24,5,18,42,9,20,15,22,17,39,8,3,9,2,15,12,22,20,15,17,25,25,31,25,48,48,30,26,64,55
GDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13,20,57,30,64,42,102,51,61,115,88,,,,48,79,54,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,2,2,3,3,,3,1,3,4,2,1
GER,2,25,5,11,14,20,7,4,5,6,14,10,6,4,11,23,11,19,,,,,,,41,21,15,7,10,26,61,93,70,,,,26,,14,23,9,20,22,34,33,50,22,44,,,,,,,,,,,,,,,,,,,60,81,57,47,42,35,64,31,23,63,41,45,41,42,16,22,45,27,67,49,43
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
GRE,20,10,18,,,,1,1,,30,24,48,1,,3,1,1,,,,5,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,,1,,,,,2,,,,4,1,,1,,1,1,,,,2,,,4,4,8,4,6,5,8,18,4,,3,3,,,3,3,1
GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
GUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAI,,,,,1,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,
HUN,3,2,1,2,1,2,1,2,1,3,5,5,6,7,7,3,10,17,,,,8,2,12,,10,11,8,20,5,15,25,1,22,15,25,32,53,17,14,30,20,37,13,16,7,42,7,29,32,20,25,10,46,35,14,6,40,8,13,,,,15,20,9,8,14,23,26,8,9,4,25,24,4,24,12,3,16,8,6,12,8,7,12,3
INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,3,2,1,2,2,4,3,1,1,3,2,2,1,,1,,2,2
IND,,,,,,2,,,,,,,,,,,,,,,,,,,,14,,,15,,,19,,,20,,1,14,,,17,,,,13,,15,,16,,,14,,,,,,,16,,,,,,,,,,,1,,,1,,,,,1,2,1,,4,,2,1,,1
IOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,1,
IRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,3,1,2,2,3,,1,2,,,2,2,1,1,,2,1,,1,,,,,,,,,1,2,,1,1,1,1,1,3,,2,2,2,1,1,,3,4,5,4,3,1
IRL,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,2,,,,,1,,,,,1,3,1,1,,,,1,,,,,,,,,,,,1,,2,,,1,,,,,1,1,1,3,,,,1,,,,2,,1,3,1,1,,,3
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,14,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,1,1,,1,,,,,,2,,
ISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ITA,,,,,3,2,,,,27,21,8,,2,6,2,22,1,8,67,9,21,25,5,26,24,22,18,21,38,5,37,34,14,21,32,15,17,22,10,26,11,34,36,18,9,14,28,20,5,8,13,9,3,4,2,25,8,8,21,28,29,6,8,11,10,14,21,10,28,19,24,29,22,14,39,24,41,20,8,14,30,16,22,24,8,40
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,3,,,,,,,,,,,,1,1,,,,1,1,3,,,2,,5,,,7,1,,3,12,1,3,3,,20,6,6,1,6,5,3,8,8,9,2,11,17
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
JPN,,,,,,,,,,,,,,,,,,,,,3,1,,,1,2,6,4,10,17,10,9,4,,,,2,1,9,5,4,15,12,9,10,25,32,5,22,16,25,8,29,19,10,25,6,,,,31,10,8,13,4,3,36,3,8,13,3,26,8,5,31,52,21,20,13,23,15,33,7,44,34,17,13
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,,3,4,3,1,4,7,2,4,5,7,1,10,3,5
KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,7,4,5,3,,,,,,,2,1,,2,5,2,2,2,4,3,1,4,2,2,3,2,1,4,5,6,4,5,2,4,1,6,6
