ID,Country,Medal Count,Games,Host
269,China,0,1960 Summer,No
270,South Korea,0,1960 Summer,No
271,Russia,0,1960 Summer,No
272,Italy,0,1960 Summer,Yes
273,France,0,1960 Summer,No
274,Greece,0,1960 Summer,No
275,UK,3,1960 Summer,No
276,Germany,10,1960 Summer,No
277,Belgium,0,1960 Summer,No
278,Netherlands,3,1960 Summer,No
279,Spain,0,1960 Summer,No
280,Sweden,1,1960 Summer,No
281,Finland,0,1960 Summer,No
282,USA,40,1960 Summer,No
283,Canada,0,1960 Summer,No
284,Mexico,0,1960 Summer,No
285,Brazil,0,1960 Summer,No
286,Australia,20,1964 Summer,No
287,Japan,5,1964 Summer,Yes
288,China,0,1964 Summer,No
289,South Korea,0,1964 Summer,No
290,Russia,8,1964 Summer,No
291,Italy,0,1964 Summer,No
292,France,1,1964 Summer,No
293,Greece,0,1964 Summer,No
294,UK,1,1964 Summer,No
295,Germany,15,1964 Summer,No
296,Belgium,0,1964 Summer,No
297,Netherlands,10,1964 Summer,No
298,Spain,0,1964 Summer,No
299,Sweden,0,1964 Summer,No
300,Finland,0,1964 Summer,No
301,USA,61,1964 Summer,No
302,Canada,0,1964 Summer,No
303,Mexico,0,1964 Summer,No
304,Brazil,0,1964 Summer,No
305,Australia,18,1968 Summer,No
306,Japan,0,1968 Summer,No
307,China,0,1968 Summer,No
308,South Korea,0,1968 Summer,No
309,Russia,22,1968 Summer,No
310,Italy,0,1968 Summer,No
311,France,1,1968 Summer,No
312,Greece,0,1968 Summer,No
313,UK,1,1968 Summer,No
314,Germany,18,1968 Summer,No
315,Belgium,0,1968 Summer,No
316,Netherlands,1,1968 Summer,No
317,Spain,0,1968 Summer,No
318,Sweden,0,1968 Summer,No
319,Finland,0,1968 Summer,No
320,USA,83,1968 Summer,No
321,Canada,7,1968 Summer,No
322,Mexico,2,1968 Summer,Yes
323,Brazil,0,1968 Summer,No
324,Australia,10,1972 Summer,No
325,Japan,3,1972 Summer,No
326,China,0,1972 Summer,No
327,South Korea,0,1972 Summer,No
328,Russia,14,1972 Summer,No
329,Italy,3,1972 Summer,No
330,France,0,1972 Summer,No
331,Greece,0,1972 Summer,No
332,UK,1,1972 Summer,No
333,Germany,42,1972 Summer,Yes
334,Belgium,0,1972 Summer,No
335,Netherlands,0,1972 Summer,No
336,Spain,0,1972 Summer,No
337,Sweden,2,1972 Summer,No
338,Finland,0,1972 Summer,No
339,USA,74,1972 Summer,No
340,Canada,8,1972 Summer,No
341,Mexico,0,1972 Summer,No
342,Brazil,0,1972 Summer,No
343,Australia,1,1976 Summer,No
344,Japan,0,1976 Summer,No
345,China,0,1976 Summer,No
346,South Korea,0,1976 Summer,No
347,Russia,14,1976 Summer,No
348,Italy,0,1976 Summer,No
349,France,0,1976 Summer,No
350,Greece,0,1976 Summer,No
351,UK,6,1976 Summer,No
352,Germany,35,1976 Summer,No
353,Belgium,0,1976 Summer,No
354,Netherlands,2,1976 Summer,No
355,Spain,0,1976 Summer,No
356,Sweden,0,1976 Summer,No
357,Finland,0,1976 Summer,No
358,USA,55,1976 Summer,No
359,Canada,20,1976 Summer,Yes
360,Mexico,0,1976 Summer,No
361,Brazil,0,1976 Summer,No
362,Australia,11,1980 Summer,No
363,Japan,0,1980 Summer,No
364,China,0,1980 Summer,No
365,South Korea,0,1980 Summer,No
366,Russia,40,1980 Summer,Yes
367,Italy,0,1980 Summer,No
368,France,0,1980 Summer,No
369,Greece,0,1980 Summer,No
370,UK,13,1980 Summer,No
371,Germany,42,1980 Summer,No
372,Belgium,0,1980 Summer,No
373,Netherlands,4,1980 Summer,No
374,Spain,0,1980 Summer,No
375,Sweden,10,1980 Summer,No
376,Finland,0,1980 Summer,No
377,USA,0,1980 Summer,No
378,Canada,0,1980 Summer,No
379,Mexico,0,1980 Summer,No
380,Brazil,0,1980 Summer,No
381,Australia,20,1984 Summer,No
382,Japan,0,1984 Summer,No
383,China,0,1984 Summer,No
384,South Korea,0,1984 Summer,No
385,Russia,0,1984 Summer,No
386,Italy,0,1984 Summer,No
387,France,2,1984 Summer,No
388,Greece,0,1984 Summer,No
389,UK,8,1984 Summer,No
390,Germany,21,1984 Summer,No
391,Belgium,1,1984 Summer,No
392,Netherlands,10,1984 Summer,No
393,Spain,0,1984 Summer,No
394,Sweden,7,1984 Summer,No
395,Finland,0,1984 Summer,No
396,USA,63,1984 Summer,Yes
397,Canada,16,1984 Summer,No
398,Mexico,0,1984 Summer,No
399,Brazil,0,1984 Summer,No
400,Australia,3,1988 Summer,No
401,Japan,1,1988 Summer,No
402,China,4,1988 Summer,No
403,South Korea,0,1988 Summer,Yes
404,Russia,21,1988 Summer,No
405,Italy,1,1988 Summer,No
406,France,2,1988 Summer,No
407,Greece,0,1988 Summer,No
408,UK,3,1988 Summer,No
409,Germany,53,1988 Summer,No
410,Belgium,0,1988 Summer,No
411,Netherlands,5,1988 Summer,No
412,Spain,0,1988 Summer,No
413,Sweden,1,1988 Summer,No
414,Finland,0,1988 Summer,No
415,USA,45,1988 Summer,No
416,Canada,10,1988 Summer,No
417,Mexico,0,1988 Summer,No
418,Brazil,0,1988 Summer,No
419,Australia,9,1992 Summer,No
420,Japan,1,1992 Summer,No
421,China,13,1992 Summer,No
422,South Korea,0,1992 Summer,No
423,Russia,30,1992 Summer,No
424,Italy,2,1992 Summer,No
425,France,3,1992 Summer,No
426,Greece,0,1992 Summer,No
427,UK,1,1992 Summer,No
428,Germany,27,1992 Summer,No
429,Belgium,0,1992 Summer,No
430,Netherlands,0,1992 Summer,No
431,Spain,0,1992 Summer,Yes
432,Sweden,6,1992 Summer,No
433,Finland,1,1992 Summer,No
434,USA,56,1992 Summer,No
435,Canada,6,1992 Summer,No
436,Mexico,0,1992 Summer,No
437,Brazil,0,1992 Summer,No
438,Australia,25,1996 Summer,No
439,Japan,0,1996 Summer,No
440,China,12,1996 Summer,No
441,South Korea,0,1996 Summer,No
442,Russia,19,1996 Summer,No
443,Italy,1,1996 Summer,No
444,France,0,1996 Summer,No
445,Greece,0,1996 Summer,No
446,UK,2,1996 Summer,No
447,Germany,30,1996 Summer,No
448,Belgium,1,1996 Summer,No
449,Netherlands,2,1996 Summer,No
450,Spain,0,1996 Summer,No
451,Sweden,4,1996 Summer,No
452,Finland,1,1996 Summer,No
453,USA,60,1996 Summer,Yes
454,Canada,3,1996 Summer,No
455,Mexico,0,1996 Summer,No
456,Brazil,0,1996 Summer,No
457,Australia,46,2000 Summer,Yes
458,Japan,7,2000 Summer,No
459,China,0,2000 Summer,No
460,South Korea,0,2000 Summer,No
461,Russia,2,2000 Summer,No
462,Italy,6,2000 Summer,No
463,France,1,2000 Summer,No
464,Greece,0,2000 Summer,No
465,UK,0,2000 Summer,No
466,Germany,11,2000 Summer,No
467,Belgium,0,2000 Summer,No
468,Netherlands,16,2000 Summer,No
469,Spain,0,2000 Summer,No
470,Sweden,9,2000 Summer,No
471,Finland,0,2000 Summer,No
472,USA,66,2000 Summer,No
473,Canada,1,2000 Summer,No
474,Mexico,0,2000 Summer,No
475,Brazil,0,2000 Summer,No
476,Australia,31,2004 Summer,No
477,Japan,11,2004 Summer,No
478,China,6,2004 Summer,No
479,South Korea,0,2004 Summer,No
480,Russia,1,2004 Summer,No
481,Italy,7,2004 Summer,No
482,France,6,2004 Summer,No
483,Greece,0,2004 Summer,Yes
484,UK,2,2004 Summer,No
485,Germany,17,2004 Summer,No
486,Belgium,0,2004 Summer,No
487,Netherlands,15,2004 Summer,No
488,Spain,0,2004 Summer,No
489,Sweden,0,2004 Summer,No
490,Finland,0,2004 Summer,No
491,USA,65,2004 Summer,No
492,Canada,0,2004 Summer,No
493,Mexico,0,2004 Summer,No
494,Brazil,0,2004 Summer,No
495,Australia,54,2008 Summer,No
496,Japan,8,2008 Summer,No
497,China,14,2008 Summer,Yes
498,South Korea,2,2008 Summer,No
499,Russia,8,2008 Summer,No
